Store,External Store ID,Country,Country Code,City,Inaccurate Items,Inaccurate Customizations,External Item ID,External Data,Order Issue,Item Issue,Count
Charcoal Eats ,,United States,USA,New York City,Butter Chicken Biryani Bowl,,31f2363e-73ce-455f-bac0-c86e31e7988b_C1dee855aef0d,"{""categoryID"":""be2e2596-948e-4631-b283-1dee855aef0d"",""isDiscountable"":true}",ISSUE_WITH_ITEMS,MISSING_ITEM,4
Charcoal Eats ,,United States,USA,New York City,Grilled Cheese Sandwich with Paneer,,c3f0ecbe-1b95-4341-b2b7-af532369e96d_C71a37f82597c,"{""categoryID"":""b819d865-fc90-4cd3-afdb-71a37f82597c"",""isDiscountable"":true}",ISSUE_WITH_ITEMS,MISSING_ITEM,3
Charcoal Eats ,,United States,USA,New York City,Gulab Jamun,,,,ISSUE_WITH_ITEMS,MISSING_ITEM,3
Charcoal Eats ,,United States,USA,New York City,Mango Lassi,,e2a8f0f7-c75a-48e5-a247-6a81d3106997_C0910f01544a8,"{""categoryID"":""6bce9c10-4663-4d36-9443-0910f01544a8"",""isDiscountable"":true}",ISSUE_WITH_ITEMS,MISSING_ITEM,3
Charcoal Eats ,,United States,USA,New York City,Puff Samosa,,f75e2095-41db-4f83-af93-d3e088b67c69_C71a37f82597c,"{""categoryID"":""b819d865-fc90-4cd3-afdb-71a37f82597c"",""isDiscountable"":true}",ISSUE_WITH_ITEMS,MISSING_ITEM,3
Charcoal Eats ,,United States,USA,New York City,Build your own Bowl,,,,ISSUE_WITH_ITEMS,MISSING_ITEM,2
Charcoal Eats ,,United States,USA,New York City,Baked Samosa,,17adae35-35cf-4f24-86ca-769b7d3d14e9_C71a37f82597c,"{""categoryID"":""b819d865-fc90-4cd3-afdb-71a37f82597c"",""isDiscountable"":true}",ISSUE_WITH_ITEMS,MISSING_ITEM,2
Charcoal Eats ,,United States,USA,New York City,Puff Potatoes Samosa,,f75e2095-41db-4f83-af93-d3e088b67c69_C71a37f82597c,"{""categoryID"":""b819d865-fc90-4cd3-afdb-71a37f82597c"",""isDiscountable"":true}",ISSUE_WITH_ITEMS,MISSING_ITEM,2
Charcoal Eats ,,United States,USA,New York City,Spicy Tandoori Chicken Kati Roll,,622ef104-ed08-446f-a55c-3a2d3679b0c7_C7658ac71ca5f,"{""categoryID"":""7b39ee54-6033-4aee-b394-7658ac71ca5f"",""isDiscountable"":true}",ISSUE_WITH_ITEMS,FOOD_QUALITY-SPOILED_OR_STALE,2
Charcoal Eats ,,United States,USA,New York City,Grilled Cheese Sandwich with Paneer,,c3f0ecbe-1b95-4341-b2b7-af532369e96d_C71a37f82597c,"{""categoryID"":""b819d865-fc90-4cd3-afdb-71a37f82597c"",""isDiscountable"":true}",ISSUE_WITH_ITEMS,WRONG_ITEM,2
Charcoal Eats ,,United States,USA,New York City,Spicy Tandoori Paneer Biryani Bowl,,eb24f916-7a43-451a-bddd-49b9636c0a23_C1dee855aef0d,"{""categoryID"":""be2e2596-948e-4631-b283-1dee855aef0d"",""isDiscountable"":true}",ISSUE_WITH_ITEMS,PARTIAL_MISSING_ITEM,1
Charcoal Eats ,,United States,USA,New York City,Dal Makhani,,b25531a2-19a5-408b-84e3-67e069622797_C0113ca169bac,"{""categoryID"":""0dd18263-1433-4247-8541-0113ca169bac"",""isDiscountable"":true}",ISSUE_WITH_ITEMS,WRONG_ITEM,1
Charcoal Eats ,,United States,USA,New York City,Butter Chicken Biryani Bowl,,31f2363e-73ce-455f-bac0-c86e31e7988b_C1dee855aef0d,"{""categoryID"":""be2e2596-948e-4631-b283-1dee855aef0d"",""isDiscountable"":true}",ISSUE_WITH_ITEMS,FOOD_QUALITY-SPOILED_OR_STALE,1
Charcoal Eats ,,United States,USA,New York City,Butter Chicken Kati Roll,,96577f74-87ae-4a6f-b690-95235bf0c147_C7658ac71ca5f,"{""categoryID"":""7b39ee54-6033-4aee-b394-7658ac71ca5f"",""isDiscountable"":true}",FOOD_QUALITY,FOOD_QUALITY-SPOILED_OR_STALE,1
Charcoal Eats ,,United States,USA,New York City,Chicken Tikka Masala,,f83a8aa1-a50e-49ba-9ede-e5eafa3e522b_C0113ca169bac,"{""categoryID"":""0dd18263-1433-4247-8541-0113ca169bac"",""isDiscountable"":true}",ISSUE_WITH_ITEMS,PARTIAL_MISSING_ITEM,1
Charcoal Eats ,,United States,USA,New York City,Puff Chicken Samosa,,17adae35-35cf-4f24-86ca-769b7d3d14e9_C71a37f82597c,"{""categoryID"":""b819d865-fc90-4cd3-afdb-71a37f82597c"",""isDiscountable"":true}",ISSUE_WITH_ITEMS,MISSING_ITEM,1
Charcoal Eats ,,United States,USA,New York City,Lamb Biryani Bowl,,015aaf23-4204-41f2-90d3-40f5bdffc8ee_C1dee855aef0d,"{""categoryID"":""be2e2596-948e-4631-b283-1dee855aef0d"",""isDiscountable"":true}",ISSUE_WITH_ITEMS,PARTIAL_MISSING_ITEM,1
Charcoal Eats ,,United States,USA,New York City,Grilled Cheese Veggie Sandwich,,0d44cad3-a924-44d5-83d7-e4d960418bc5_C71a37f82597c,"{""categoryID"":""b819d865-fc90-4cd3-afdb-71a37f82597c"",""isDiscountable"":true}",ISSUE_WITH_ITEMS,MISSING_ITEM,1
Charcoal Eats ,,United States,USA,New York City,Grilled Cheese Sandwich with Paneer,,c3f0ecbe-1b95-4341-b2b7-af532369e96d_C71a37f82597c,"{""categoryID"":""b819d865-fc90-4cd3-afdb-71a37f82597c"",""isDiscountable"":true}",ISSUE_WITH_ITEMS,FOOD_QUALITY-BURNT,1
Charcoal Eats ,,United States,USA,New York City,Puff Samosa,,f75e2095-41db-4f83-af93-d3e088b67c69_C71a37f82597c,"{""categoryID"":""b819d865-fc90-4cd3-afdb-71a37f82597c"",""isDiscountable"":true}",ISSUE_WITH_ITEMS,FOOD_QUALITY-SPOILED_OR_STALE,1
Charcoal Eats ,,United States,USA,New York City,Dum Chicken Tikka Biryani Bowl,,570c4857-57c0-4cf8-8e43-598738707b0e_C1dee855aef0d,"{""categoryID"":""be2e2596-948e-4631-b283-1dee855aef0d"",""isDiscountable"":true}",ISSUE_WITH_ITEMS,MISSING_ITEM,1
Charcoal Eats ,,United States,USA,New York City,Grilled Cheese Sandwich with Paneer,,c3f0ecbe-1b95-4341-b2b7-af532369e96d_C71a37f82597c,"{""categoryID"":""b819d865-fc90-4cd3-afdb-71a37f82597c"",""isDiscountable"":true}",ISSUE_WITH_ITEMS,PARTIAL_MISSING_ITEM,1
Charcoal Eats ,,United States,USA,New York City,Butter Chicken Kati Roll,,96577f74-87ae-4a6f-b690-95235bf0c147_C7658ac71ca5f,"{""categoryID"":""7b39ee54-6033-4aee-b394-7658ac71ca5f"",""isDiscountable"":true}",ISSUE_WITH_ITEMS,MISSING_ITEM,1
